{Timestamp; Branch number; Position in branch; Branch length; Branch generation; branchCode; Offset [mm]}
1742891841253;110;10;61;6;1,2,2,2,2,2;2.1
1742891841353;110;10;61;6;1,2,2,2,2,2;1.7
1742891841453;110;10;61;6;1,2,2,2,2,2;1.8
1742891841553;110;11;61;6;1,2,2,2,2,2;2.3
1742891841653;110;10;61;6;1,2,2,2,2,2;1.7
1742891841753;110;11;61;6;1,2,2,2,2,2;2.2
1742891841853;110;10;61;6;1,2,2,2,2,2;1.5
1742891841953;110;9;61;6;1,2,2,2,2,2;1.3
1742891842053;110;6;61;6;1,2,2,2,2,2;0.7
1742891842153;110;4;61;6;1,2,2,2,2,2;0.5
1742891842253;110;1;61;6;1,2,2,2,2,2;0.6
1742891842353;75;14;14;5;1,2,2,2,2;0.4
1742891842452;111;1;6;6;1,2,2,2,2,1;0.8
1742891842553;111;2;6;6;1,2,2,2,2,1;1.3
1742891842652;136;1;7;7;1,2,2,2,2,1,2;0.3
1742891842752;136;6;7;7;1,2,2,2,2,1,2;0.3
1742891842853;134;3;43;8;1,2,2,2,2,1,2,1;0.8
1742891842952;135;10;14;7;1,2,2,2,2,1,1;1.7
1742891843052;134;7;43;8;1,2,2,2,2,1,2,1;1.8
1742891843152;134;7;43;8;1,2,2,2,2,1,2,1;0.6
1742891843251;134;7;43;8;1,2,2,2,2,1,2,1;1.2
1742891843351;133;5;8;8;1,2,2,2,2,1,2,2;1.5
1742891843451;133;5;8;8;1,2,2,2,2,1,2,2;1.5
1742891843551;133;6;8;8;1,2,2,2,2,1,2,2;1.5
1742891843651;133;6;8;8;1,2,2,2,2,1,2,2;1.6
1742891843751;134;7;43;8;1,2,2,2,2,1,2,1;1.7
1742891843851;134;8;43;8;1,2,2,2,2,1,2,1;1.2
1742891843951;134;8;43;8;1,2,2,2,2,1,2,1;0.8
1742891844051;134;10;43;8;1,2,2,2,2,1,2,1;1.1
1742891844151;134;10;43;8;1,2,2,2,2,1,2,1;1.5
1742891844251;134;6;43;8;1,2,2,2,2,1,2,1;1.7
1742891844351;136;1;7;7;1,2,2,2,2,1,2;1.9
1742891844451;75;12;14;5;1,2,2,2,2;2
1742891844551;75;7;14;5;1,2,2,2,2;1.8
1742891844651;76;2;24;5;1,2,2,2,1;1.8
1742891844751;41;32;36;4;1,2,2,2;2
1742891844851;41;30;36;4;1,2,2,2;1.7
1742891844951;41;25;36;4;1,2,2,2;0.9
1742891845050;41;20;36;4;1,2,2,2;1.1
1742891845150;41;19;36;4;1,2,2,2;1.9
1742891845251;41;18;36;4;1,2,2,2;2.2
1742891845350;41;15;36;4;1,2,2,2;2
1742891845450;41;12;36;4;1,2,2,2;2.1
1742891845550;41;6;36;4;1,2,2,2;2.8
1742891845650;40;5;15;4;1,2,2,1;2
1742891845751;40;4;15;4;1,2,2,1;2.1
1742891845850;40;3;15;4;1,2,2,1;1.4
1742891845950;40;3;15;4;1,2,2,1;0.7
1742891846049;16;48;48;3;1,2,2;1.6
1742891846149;16;47;48;3;1,2,2;1.3
1742891846250;16;47;48;3;1,2,2;1.7
1742891846349;16;44;48;3;1,2,2;2.4
1742891846449;16;48;48;3;1,2,2;8.9
1742891846549;16;48;48;3;1,2,2;9.1
1742891846649;16;46;48;3;1,2,2;7.5
1742891846749;16;41;48;3;1,2,2;2.6
1742891846849;16;40;48;3;1,2,2;3
1742891846949;16;39;48;3;1,2,2;4.4
1742891847049;16;43;48;3;1,2,2;5.4
1742891847149;16;44;48;3;1,2,2;5.6
1742891847248;16;44;48;3;1,2,2;5.5
1742891847348;16;45;48;3;1,2,2;5
1742891847448;16;44;48;3;1,2,2;4.6
1742891847548;16;46;48;3;1,2,2;5.2
1742891847648;40;1;15;4;1,2,2,1;5.2
1742891847748;40;5;15;4;1,2,2,1;4.9
1742891847848;40;7;15;4;1,2,2,1;4.6
1742891847948;40;10;15;4;1,2,2,1;4.9
1742891848048;73;6;13;5;1,2,2,1,1;4.7
1742891848148;73;7;13;5;1,2,2,1,1;3.8
1742891848248;73;9;13;5;1,2,2,1,1;3.6
1742891848348;73;10;13;5;1,2,2,1,1;4.1
1742891848448;106;6;12;6;1,2,2,1,1,1;4.1
1742891848548;106;7;12;6;1,2,2,1,1,1;3.3
1742891848648;106;7;12;6;1,2,2,1,1,1;4.4
1742891848747;106;8;12;6;1,2,2,1,1,1;4.7
1742891848847;106;8;12;6;1,2,2,1,1,1;4.6
1742891848947;106;8;12;6;1,2,2,1,1,1;3.5
1742891849047;106;9;12;6;1,2,2,1,1,1;2.8
1742891849146;125;1;9;7;1,2,2,1,1,1,2;1.2
1742891849247;106;10;12;6;1,2,2,1,1,1;2.3
1742891849347;106;9;12;6;1,2,2,1,1,1;3.2
1742891849446;106;10;12;6;1,2,2,1,1,1;3.7
1742891849546;106;10;12;6;1,2,2,1,1,1;3.4
1742891849646;106;9;12;6;1,2,2,1,1,1;3.3
1742891849746;106;9;12;6;1,2,2,1,1,1;3.1
1742891849846;106;9;12;6;1,2,2,1,1,1;2.5
1742891849946;106;10;12;6;1,2,2,1,1,1;1.4
1742891850046;126;1;9;7;1,2,2,1,1,1,1;1.6
1742891850146;126;3;9;7;1,2,2,1,1,1,1;3
1742891850246;126;5;9;7;1,2,2,1,1,1,1;4.8
1742891850346;126;7;9;7;1,2,2,1,1,1,1;5.5
1742891850446;126;5;9;7;1,2,2,1,1,1,1;3.3
1742891850546;106;6;12;6;1,2,2,1,1,1;4.2
1742891850646;106;8;12;6;1,2,2,1,1,1;7.8
1742891850746;40;4;15;4;1,2,2,1;10.8
1742891850846;106;10;12;6;1,2,2,1,1,1;10.6
1742891850946;126;2;9;7;1,2,2,1,1,1,1;10.2
1742891851045;126;2;9;7;1,2,2,1,1,1,1;9.6
1742891851145;106;8;12;6;1,2,2,1,1,1;8.6
1742891851246;106;5;12;6;1,2,2,1,1,1;7.1
1742891851345;106;5;12;6;1,2,2,1,1,1;5.3
